country_code,name_en,name_pt
ABW,Aruba,Aruba
AFG,Afghanistan,Afeganistão
AGO,Angola,Angola
AIA,Anguilla,Anguilla
ALA,Åland Islands,Alândia
ALB,Albania,Albânia
AND,Andorra,Andorra
ARE,United Arab Emirates,Emirados Árabes Unidos
ARG,Argentina,Argentina
ARM,Armenia,Arménia
ASM,American Samoa,Samoa Americana
ATA,Antarctica,Antártida
ATF,French Southern and Antarctic Lands,Terras Austrais e Antárticas Francesas
ATG,Antigua and Barbuda,Antígua e Barbuda
AUS,Australia,Austrália
AUT,Austria,Áustria
AZE,Azerbaijan,Azerbeijão
BDI,Burundi,Burundi
BEL,Belgium,Bélgica
BEN,Benin,Benin
BES,Caribbean Netherlands,Países Baixos Caribenhos
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgária
BHR,Bahrain,Bahrein
BHS,Bahamas,Bahamas
BIH,Bosnia and Herzegovina,Bósnia e Herzegovina
BLM,Saint Barthélemy,São Bartolomeu
BLR,Belarus,Bielorússia
BLZ,Belize,Belize
BMU,Bermuda,Bermudas
BOL,Bolivia,Bolívia
BRA,Brazil,Brasil
BRB,Barbados,Barbados
BRN,Brunei,Brunei
BTN,Bhutan,Butão
BVT,Bouvet Island,Ilha Bouvet
BWA,Botswana,Botswana
CAF,Central African Republic,República Centro-Africana
CAN,Canada,Canadá
CCK,Cocos (Keeling) Islands,Ilhas Cocos (Keeling)
CHE,Switzerland,Suíça
CHL,Chile,Chile
CHN,China,China
CIV,Ivory Coast,Costa do Marfim
CMR,Cameroon,Camarões
COD,DR Congo,República Democrática do Congo
COG,Republic of the Congo,Congo
COK,Cook Islands,Ilhas Cook
COL,Colombia,Colômbia
COM,Comoros,Comores
CPV,Cape Verde,Cabo Verde
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CUW,Curaçao,ilha da Curação
CXR,Christmas Island,Ilha do Natal
CYM,Cayman Islands,Ilhas Caimão
CYP,Cyprus,Chipre
CZE,Czechia,Chéquia
DEU,Germany,Alemanha
DJI,Djibouti,Djibouti
DMA,Dominica,Dominica
DNK,Denmark,Dinamarca
DOM,Dominican Republic,República Dominicana
DZA,Algeria,Argélia
ECU,Ecuador,Equador
EGY,Egypt,Egito
ERI,Eritrea,Eritreia
ESH,Western Sahara,Saara Ocidental
ESP,Spain,Espanha
EST,Estonia,Estónia
ETH,Ethiopia,Etiópia
FIN,Finland,Finlândia
FJI,Fiji,Fiji
FLK,Falkland Islands,Ilhas Malvinas
FRA,France,França
FRO,Faroe Islands,Ilhas Faroé
FSM,Micronesia,Micronésia
GAB,Gabon,Gabão
GBR,United Kingdom,Reino Unido
GEO,Georgia,Geórgia
GGY,Guernsey,Guernsey
GHA,Ghana,Gana
GIB,Gibraltar,Gibraltar
GIN,Guinea,Guiné
GLP,Guadeloupe,Guadalupe
GMB,Gambia,Gâmbia
GNB,Guinea-Bissau,Guiné-Bissau
GNQ,Equatorial Guinea,Guiné Equatorial
GRC,Greece,Grécia
GRD,Grenada,Granada
GRL,Greenland,Gronelândia
GTM,Guatemala,Guatemala
GUF,French Guiana,Guiana Francesa
GUM,Guam,Guam
GUY,Guyana,Guiana
HKG,Hong Kong,Hong Kong
HMD,Heard Island and McDonald Islands,Ilha Heard e Ilhas McDonald
HND,Honduras,Honduras
HRV,Croatia,Croácia
HTI,Haiti,Haiti
HUN,Hungary,Hungria
IDN,Indonesia,Indonésia
IMN,Isle of Man,Ilha de Man
IND,India,Índia
IOT,British Indian Ocean Territory,Território Britânico do Oceano Índico
IRL,Ireland,Irlanda
IRN,Iran,Irão
IRQ,Iraq,Iraque
ISL,Iceland,Islândia
ISR,Israel,Israel
ITA,Italy,Itália
JAM,Jamaica,Jamaica
JEY,Jersey,Jersey
JOR,Jordan,Jordânia
JPN,Japan,Japão
KAZ,Kazakhstan,Cazaquistão
KEN,Kenya,Quénia
KGZ,Kyrgyzstan,Quirguistão
KHM,Cambodia,Camboja
KIR,Kiribati,Kiribati
KNA,Saint Kitts and Nevis,São Cristóvão e Nevis
KOR,South Korea,Coreia do Sul
KWT,Kuwait,Kuwait
LAO,Laos,Laos
LBN,Lebanon,Líbano
LBR,Liberia,Libéria
LBY,Libya,Líbia
LCA,Saint Lucia,Santa Lúcia
LIE,Liechtenstein,Liechtenstein
LKA,Sri Lanka,Sri Lanka
LSO,Lesotho,Lesoto
LTU,Lithuania,Lituânia
LUX,Luxembourg,Luxemburgo
LVA,Latvia,Letónia
MAC,Macau,Macau
MAF,Saint Martin,São Martinho
MAR,Morocco,Marrocos
MCO,Monaco,Mónaco
MDA,Moldova,Moldávia
MDG,Madagascar,Madagáscar
MDV,Maldives,Maldivas
MEX,Mexico,México
MHL,Marshall Islands,Ilhas Marshall
MKD,North Macedonia,Macedónia do Norte
MLI,Mali,Mali
MLT,Malta,Malta
MMR,Myanmar,Myanmar
MNE,Montenegro,Montenegro
MNG,Mongolia,Mongólia
MNP,Northern Mariana Islands,Marianas Setentrionais
MOZ,Mozambique,Moçambique
MRT,Mauritania,Mauritânia
MSR,Montserrat,Montserrat
MTQ,Martinique,Martinica
MUS,Mauritius,Maurício
MWI,Malawi,Malawi
MYS,Malaysia,Malásia
MYT,Mayotte,Mayotte
NAM,Namibia,Namíbia
NCL,New Caledonia,Nova Caledónia
NER,Niger,Níger
NFK,Norfolk Island,Ilha Norfolk
NGA,Nigeria,Nigéria
NIC,Nicaragua,Nicarágua
NIU,Niue,Niue
NLD,Netherlands,Holanda
NOR,Norway,Noruega
NPL,Nepal,Nepal
NRU,Nauru,Nauru
NZL,New Zealand,Nova Zelândia
OMN,Oman,Omã
PAK,Pakistan,Paquistão
PAN,Panama,Panamá
PCN,Pitcairn Islands,Ilhas Pitcairn
PER,Peru,Perú
PHL,Philippines,Filipinas
PLW,Palau,Palau
PNG,Papua New Guinea,Papua Nova Guiné
POL,Poland,Polónia
PRI,Puerto Rico,Porto Rico
PRK,North Korea,Coreia do Norte
PRT,Portugal,Portugal
PRY,Paraguay,Paraguai
PSE,Palestine,Palestina
PYF,French Polynesia,Polinésia Francesa
QAT,Qatar,Catar
REU,Réunion,Reunião
ROU,Romania,Roménia
RUS,Russia,Rússia
RWA,Rwanda,Ruanda
SAU,Saudi Arabia,Arábia Saudita
SDN,Sudan,Sudão
SEN,Senegal,Senegal
SGP,Singapore,Singapura
SGS,South Georgia,Ilhas Geórgia do Sul e Sandwich do Sul
SHN,"Saint Helena, Ascension and Tristan da Cunha","Santa Helena, Ascensão e Tristão da Cunha"
SJM,Svalbard and Jan Mayen,Ilhas Svalbard e Jan Mayen
SLB,Solomon Islands,Ilhas Salomão
SLE,Sierra Leone,Serra Leoa
SLV,El Salvador,El Salvador
SMR,San Marino,San Marino
SOM,Somalia,Somália
SPM,Saint Pierre and Miquelon,Saint-Pierre e Miquelon
SRB,Serbia,Sérvia
SSD,South Sudan,Sudão do Sul
STP,São Tomé and Príncipe,São Tomé e Príncipe
SUR,Suriname,Suriname
SVK,Slovakia,Eslováquia
SVN,Slovenia,Eslovénia
SWE,Sweden,Suécia
SWZ,Eswatini,Suazilândia
SXM,Sint Maarten,São Martinho
SYC,Seychelles,Seicheles
SYR,Syria,Síria
TCA,Turks and Caicos Islands,Ilhas Turks e Caicos
TCD,Chad,Chade
TGO,Togo,Togo
THA,Thailand,Tailândia
TJK,Tajikistan,Tajiquistão
TKL,Tokelau,Tokelau
TKM,Turkmenistan,Turquemenistão
TLS,Timor-Leste,Timor-Leste
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidade e Tobago
TUN,Tunisia,Tunísia
TUR,Turkey,Turquia
TUV,Tuvalu,Tuvalu
TWN,Taiwan,Ilha Formosa
TZA,Tanzania,Tanzânia
UGA,Uganda,Uganda
UKR,Ukraine,Ucrânia
UMI,United States Minor Outlying Islands,Ilhas Menores Distantes dos Estados Unidos
UNK,Kosovo,Kosovo
URY,Uruguay,Uruguai
USA,United States,Estados Unidos
UZB,Uzbekistan,Uzbequistão
VAT,Vatican City,Cidade do Vaticano
VCT,Saint Vincent and the Grenadines,São Vincente e Granadinas
VEN,Venezuela,Venezuela
VGB,British Virgin Islands,Ilhas Virgens
VIR,United States Virgin Islands,Ilhas Virgens dos Estados Unidos
VNM,Vietnam,Vietname
VUT,Vanuatu,Vanuatu
WLF,Wallis and Futuna,Wallis e Futuna
WSM,Samoa,Samoa
YEM,Yemen,Iémen
ZAF,South Africa,África do Sul
ZMB,Zambia,Zâmbia
ZWE,Zimbabwe,Zimbabwe
